
 NCe$Z (MAGNETIZATION AND ZEEMAN)    
 AL=  -1.9990	GJ=   0.8571
 FI=   0. TETA=  90.

  X(J)  -525.40002   -60.10000     0.00000     0.00000     0.00000     0.00000   764.40002     0.00000     0.00000
   285.000000       1104.52551       284.558838    
   286.000000       1103.99731       285.556183    
   287.000000       1103.48291       286.554138    
   288.000000       1102.97839       287.552673    
   289.000000       1102.48291       288.551910    
   290.000000       1101.99536       289.551697    
   291.000000       1101.52197       290.552124    
   292.000000       1101.05615       291.553131    
   293.000000       1100.59888       292.554749    
   294.000000       1100.15234       293.556946    
   295.000000       1099.71851       294.559784    
   296.000000       1099.29102       295.563202    
   297.000000       1098.87292       296.567200    
   298.000000       1098.46472       297.571777    
   299.000000       1098.06750       298.576996    
   300.000000       1097.67749       299.582733    
   301.000000       1097.29675       300.589081    
   302.000000       1096.92871       301.596039    
   303.000000       1096.56628       302.603546    
   304.000000       1096.21619       303.611633    
   305.000000       1095.87292       304.620300    
   306.000000       1095.54028       305.629517    
   307.000000       1095.21240       306.639343    
   308.000000       1094.89819       307.649689    
   309.000000       1094.59143       308.660645    
   310.000000       1094.29370       309.672089    
   311.000000       1094.00183       310.684143    
   312.000000       1093.72156       311.696747    
   313.000000       1093.44910       312.709869    
   314.000000       1093.18396       313.723602    
   315.000000       1092.93018       314.737854    
   316.000000       1092.68213       315.752655    
   317.000000       1092.44348       316.767975    
   318.000000       1092.21204       317.783875    
   319.000000       1091.99207       318.800293    
   320.000000       1091.77966       319.817200    
   321.000000       1091.57178       320.834686    
   322.000000       1091.37598       321.852692    
   323.000000       1091.18298       322.871246    
   324.000000       1091.00256       323.890350    
   325.000000       1090.82861       324.909912    
   326.000000       1090.66614       325.930023    
   327.000000       1090.50647       326.950653    
   328.000000       1090.35632       327.971802    
   329.000000       1090.21301       328.993439    
   330.000000       1090.07507       330.015625    
   331.000000       1089.94556       331.038269    
   332.000000       1089.82910       332.061462    
   333.000000       1089.71875       333.085144    
   334.000000       1089.61267       334.109344    
   335.000000       1089.51611       335.134033    
   336.000000       1089.42517       336.159210    
   337.000000       1089.33691       337.184845    
   338.000000       1089.26477       338.211029    
   339.000000       1089.19446       339.237671    
   340.000000       1089.13342       340.264801    
   341.000000       1089.07800       341.292419    
   342.000000       1089.02820       342.320557    
   343.000000       1088.98938       343.349060    
   344.000000       1088.95386       344.378143    
   345.000000       1088.92651       345.407715    
   346.000000       1088.90527       346.437714    
   347.000000       1088.89612       347.468170    
   348.000000       1088.88574       348.499115    
   349.000000       1088.88623       349.530579    
   350.000000       1088.89209       350.562378    
   351.000000       1088.90845       351.594757    
   352.000000       1088.92419       352.627502    
   353.000000       1088.95239       353.660767    
   354.000000       1088.98169       354.694458    
   355.000000       1089.01990       355.728607    
   356.000000       1089.06421       356.763245    
   357.000000       1089.11682       357.798279    
   358.000000       1089.17261       358.833740    
   359.000000       1089.23523       359.869690    
   360.000000       1089.30640       360.906036    
   361.000000       1089.38098       361.942841    
   362.000000       1089.45996       362.980072    
   363.000000       1089.54895       364.017792    
   364.000000       1089.64282       365.055939    
   365.000000       1089.74194       366.094421    
   366.000000       1089.84741       367.133362    
   367.000000       1089.95642       368.172791    
   368.000000       1090.07678       369.212585    
   369.000000       1090.19519       370.252808    
   370.000000       1090.32336       371.293457    
   371.000000       1090.45776       372.334534    
   372.000000       1090.59924       373.375977    
   373.000000       1090.74268       374.417908    
   374.000000       1090.89502       375.460205    
   375.000000       1091.04663       376.502899    
   376.000000       1091.20789       377.545990    
   377.000000       1091.37549       378.589508    
   378.000000       1091.54736       379.633362    
   379.000000       1091.72571       380.677704    
   380.000000       1091.90698       381.722382    
   381.000000       1092.09497       382.767517    
   382.000000       1092.28638       383.812988    
   383.000000       1092.48438       384.858887    
   384.000000       1092.68665       385.905151    
